user_id,button_name,question_id,question_text,user_answer,timestamp
0,Begin Study,NULL,NULL,NULL,24:01.4
2,Claim User ID,NULL,NULL,NULL,24:02.9
2,Begin Prestudy,NULL,NULL,NULL,24:09.5
2,Submit,NULL,What's your age?,21,24:12.4
2,Submit,NULL,What's your major?,Computer Science,24:17.7
2,Submit,NULL,The graph above shows the percentage of people who die from different types of c,25%,24:38.9
2,Submit,NULL,You see two magazines advertisements on separate pages. Each advertisement is fo,"They are equal, Can't Say",25:28.0
2,Submit,NULL,The graph above shows the number of men and women with disease X. The total numb,10,25:59.2
2,Submit,NULL,You see two newspaper advertisements on separate pages. Each advertisement is fo,Nopsorian,26:26.6
2,Start Calibration,NULL,NULL,NULL,26:31.5
2,Begin Main Study,NULL,NULL,NULL,26:37.6
2,Submit,34,1. The day with the highest number of COVID-related deaths in California in Janu,TRUE,27:04.2
2,Submit,10,"2. Between January 7th and January 17th, the highest daily count of new COVID ca",FALSE,27:20.2
2,Submit,25,3. There were around the same number of people in California hospitalized from C,TRUE,27:40.5
2,Submit,39,4. The number of COVID-related deaths in California in January were trending upw,FALSE,27:56.8
2,Submit,48,5. Vaccines had been administered before March (according to the chart).,TRUE,28:09.1
2,Submit,27,6. There were more people in California hospitalized from COVID on April 5 in 20,FALSE,28:44.7
2,Submit,15,"7. In March, more than double the amount of people became fully vaccinated as co",FALSE,29:06.7
2,Submit,46,8. Vaccines were administered in February.,FALSE,29:20.9
2,Submit,14,"9. In June, half as many people became fully vaccinated as compared to the amoun",TRUE,29:46.9
2,Submit,43,10. No vaccines had been administered at the beginning of February.,FALSE,29:59.0
2,Submit,13,"11. By August, at least half of the U.S. population was fully vaccinated.",TRUE,30:08.6
2,Submit,30,12. There were around 1700 people in California hospitalized from COVID in the e,TRUE,30:42.2
2,Submit,31,13. The day with the lowest number of COVID-related deaths in California in Janu,FALSE,30:56.4
2,Submit,18,14. More people became fully vaccinated in October than in January.,FALSE,31:04.9
2,Submit,1,"15. According to the chart, there was a day (or days) where there were virtually",FALSE,31:17.4
2,Submit,47,16. Vaccines began getting administered in March (according to the chart).,TRUE,31:27.7
2,Submit,40,17. The number of COVID-related deaths in California in January were trending do,FALSE,31:51.1
2,Submit,36,18. There were more COVID-related deaths in California in the second half of the,TRUE,32:03.0
2,Submit,23,19. There were around 2000 people in California hospitalized from COVID in the b,TRUE,32:14.9
2,Submit,45,20. Vaccines were administered in January.,TRUE,32:21.5
2,Submit,4,"21. On January 17th, the number of new cases decreased by more than half that of",FALSE,32:32.2
2,Submit,16,"22. More people became fully vaccinated in the Summer (June, July, August) than ",FALSE,32:51.8
2,Submit,6,"23. On January 12, there were about 250 new cases.",FALSE,33:03.6
2,Submit,33,24. The day with the highest number of COVID-related deaths in California in Jan,FALSE,33:23.5
2,Submit,37,25. There were less COVID-related deaths in California in the first half of the ,TRUE,33:47.3
2,Submit,22,26. There were around 2100 people in California hospitalized from COVID in the b,TRUE,33:56.4
2,Submit,8,"27. On January 9, there were about 245,000 new COVID cases.",TRUE,34:11.1
2,Submit,29,28. There were more people in California hospitalized from COVID on April 5 in 2,FALSE,34:27.4
2,Submit,42,"29. Around 600,000 total vaccines had been administered at the beginning of Janu",FALSE,34:39.0
2,Submit,9,"30. Between January 13th and January 14th, the number of new COVID cases decline",TRUE,34:51.0
2,Submit,26,31. There were less people in California hospitalized from COVID on April 5 in 2,FALSE,35:04.3
2,Submit,35,32. There were more COVID-related deaths in California in the first half of the ,FALSE,35:28.4
2,Submit,5,"33. From January 7 to January 17, the number of new cases generally declined.",FALSE,35:41.9
2,Submit,3,"34. On January 16th, the number of new cases was about half that of the day befo",FALSE,35:50.3
2,Submit,32,35. The day with the lowest number of COVID-related deaths in California in Janu,TRUE,36:11.5
2,Submit,12,"36. By May, about a quarter of the U.S. population was fully vaccinated.",FALSE,36:25.8
2,Submit,21,37. There were around 3500 people in California hospitalized from COVID in the b,FALSE,36:36.4
2,Submit,20,38. January was the month with the least amount of full vaccinations completed.,TRUE,37:00.2
2,Submit,49,39. The total number of vaccines administered at the beginning of March was arou,FALSE,37:07.4
2,Submit,2,"40. Between January 7th and January 8th, the number of new cases more than doubl",FALSE,37:13.9
2,Submit,38,41. There were less COVID-related deaths in California in the second half of the,TRUE,37:23.8
2,Submit,28,42. There were less people in California hospitalized from COVID on April 5 in 2,TRUE,37:34.1
2,Submit,7,"43. Between January 9 and January 10, there were less than 5 new COVID cases.",FALSE,37:44.8
2,Submit,24,44. There were around 1200 people in California hospitalized from COVID in the b,FALSE,37:56.5
2,Submit,11,45. Most of the fully vaccinated population became fully vaccinated in April.,FALSE,38:14.8
2,Submit,41,46. No vaccines had been administered at the beginning of January.,FALSE,38:25.6
2,Submit,17,47. More people became fully vaccinated in July than in February.,FALSE,38:46.8
2,Submit,19,48. More than half of the U.S. population was fully vaccinated by October.,TRUE,38:57.9
2,Submit,50,49. The total number of vaccines administered at the beginning of March was arou,FALSE,39:09.8
2,Submit,44,"50. Around 4,500,000 total vaccines had been administered at the beginning of Fe",TRUE,39:14.6
0,Begin Study,NULL,NULL,NULL,21:06.5
5,Claim User ID,NULL,NULL,NULL,21:07.3
5,Begin Prestudy,NULL,NULL,NULL,27:00.9
5,Submit,NULL,What's your age?,24,27:08.7
5,Submit,NULL,What's your major?,Computer Science,27:19.3
5,Submit,NULL,The graph above shows the percentage of people who die from different types of c,25,27:50.6
5,Submit,NULL,You see two magazines advertisements on separate pages. Each advertisement is fo,They are equal,28:55.8
5,Submit,NULL,The graph above shows the number of men and women with disease X. The total numb,20,29:26.3
5,Submit,NULL,You see two newspaper advertisements on separate pages. Each advertisement is fo,Nopsorian,30:07.5
5,Start Calibration,NULL,NULL,NULL,30:13.2
5,Begin Main Study,NULL,NULL,NULL,30:21.0
5,Submit,25,1. There were around the same number of people in California hospitalized from C,TRUE,30:47.9
5,Submit,8,"2. On January 9, there were about 245,000 new COVID cases.",TRUE,31:02.5
5,Submit,11,3. Most of the fully vaccinated population became fully vaccinated in April.,FALSE,31:24.1
5,Submit,7,"4. Between January 9 and January 10, there were less than 5 new COVID cases.",TRUE,31:38.6
5,Submit,44,"5. Around 4,500,000 total vaccines had been administered at the beginning of Feb",TRUE,31:50.3
5,Submit,49,6. The total number of vaccines administered at the beginning of March was aroun,FALSE,32:09.5
5,Submit,47,7. Vaccines began getting administered in March (according to the chart).,TRUE,32:13.9
5,Submit,10,"8. Between January 7th and January 17th, the highest daily count of new COVID ca",FALSE,32:34.2
5,Submit,29,9. There were more people in California hospitalized from COVID on April 5 in 20,FALSE,32:55.9
5,Submit,23,10. There were around 2000 people in California hospitalized from COVID in the b,TRUE,33:24.4
5,Submit,38,11. There were less COVID-related deaths in California in the second half of the,FALSE,34:19.8
5,Submit,24,12. There were around 1200 people in California hospitalized from COVID in the b,FALSE,34:46.2
5,Submit,9,"13. Between January 13th and January 14th, the number of new COVID cases decline",FALSE,35:12.0
5,Submit,27,14. There were more people in California hospitalized from COVID on April 5 in 2,FALSE,35:26.6
5,Submit,15,"15. In March, more than double the amount of people became fully vaccinated as c",FALSE,35:42.2
5,Submit,30,16. There were around 1700 people in California hospitalized from COVID in the e,TRUE,35:54.8
5,Submit,42,"17. Around 600,000 total vaccines had been administered at the beginning of Janu",FALSE,36:07.7
5,Submit,4,"18. On January 17th, the number of new cases decreased by more than half that of",FALSE,36:23.4
5,Submit,40,19. The number of COVID-related deaths in California in January were trending do,FALSE,36:36.8
5,Submit,43,20. No vaccines had been administered at the beginning of February.,FALSE,36:42.9
5,Submit,16,"21. More people became fully vaccinated in the Summer (June, July, August) than ",TRUE,36:50.3
5,Submit,36,22. There were more COVID-related deaths in California in the second half of the,TRUE,36:54.8
5,Submit,34,23. The day with the highest number of COVID-related deaths in California in Jan,TRUE,37:06.7
5,Submit,46,24. Vaccines were administered in February.,FALSE,37:12.1
5,Submit,39,25. The number of COVID-related deaths in California in January were trending up,FALSE,37:21.6
5,Submit,13,"26. By August, at least half of the U.S. population was fully vaccinated.",FALSE,37:37.2
5,Submit,45,27. Vaccines were administered in January.,TRUE,37:40.9
5,Submit,1,"28. According to the chart, there was a day (or days) where there were virtually",TRUE,37:54.4
5,Submit,2,"29. Between January 7th and January 8th, the number of new cases more than doubl",FALSE,38:10.7
5,Submit,21,30. There were around 3500 people in California hospitalized from COVID in the b,FALSE,38:32.2
