user_id,question_text,user_answer,timestamp
2,"What's your age?",21,"2024-03-12 12:24:12.379"
2,"What's your major?","Computer Science","2024-03-12 12:24:17.733"
2,"The graph above shows the percentage of people who die from different types of c",25%,"2024-03-12 12:24:38.918"
2,"You see two magazines advertisements on separate pages. Each advertisement is fo","They are equal, Can't Say","2024-03-12 12:25:27.996"
2,"The graph above shows the number of men and women with disease X. The total numb",10,"2024-03-12 12:25:59.228"
2,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-12 12:26:26.621"
5,"What's your age?",24,"2024-03-13 11:27:08.681"
5,"What's your major?","Computer Science","2024-03-13 11:27:19.264"
5,"The graph above shows the percentage of people who die from different types of c",25,"2024-03-13 11:27:50.559"
5,"You see two magazines advertisements on separate pages. Each advertisement is fo","They are equal","2024-03-13 11:28:55.767"
5,"The graph above shows the number of men and women with disease X. The total numb",20,"2024-03-13 11:29:26.256"
5,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-13 11:30:07.455"
6,"What's your age?",21,"2024-03-13 12:22:14.428"
6,"What's your major?","Computer Science","2024-03-13 12:22:20.316"
6,"The graph above shows the percentage of people who die from different types of c",25,"2024-03-13 12:22:48.061"
6,"You see two magazines advertisements on separate pages. Each advertisement is fo",Crosicol,"2024-03-13 12:24:13.875"
6,"The graph above shows the number of men and women with disease X. The total numb",20,"2024-03-13 12:24:36.900"
6,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-13 12:25:10.243"
10,"What's your age?",23,"2024-03-18 12:27:23.617"
10,"What's your major?","Computer Science","2024-03-18 12:27:31.344"
10,"The graph above shows the percentage of people who die from different types of c",25%,"2024-03-18 12:27:53.626"
10,"You see two magazines advertisements on separate pages. Each advertisement is fo","They are equal","2024-03-18 12:29:06.202"
10,"The graph above shows the number of men and women with disease X. The total numb",10,"2024-03-18 12:29:34.041"
10,"You see two newspaper advertisements on separate pages. Each advertisement is fo","Can't say","2024-03-18 12:30:07.265"
11,"What's your age?",23,"2024-03-19 12:01:00.359"
11,"What's your major?","Computer Science","2024-03-19 12:01:06.010"
11,"The graph above shows the percentage of people who die from different types of c",25%,"2024-03-19 12:01:24.390"
11,"You see two magazines advertisements on separate pages. Each advertisement is fo","Can't say","2024-03-19 12:01:58.824"
11,"The graph above shows the number of men and women with disease X. The total numb",20,"2024-03-19 12:02:48.198"
11,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-19 12:03:18.855"
13,"What's your age?",34,"2024-03-19 14:28:39.593"
13,"What's your major?",CS,"2024-03-19 14:28:44.369"
13,"The graph above shows the percentage of people who die from different types of c",25,"2024-03-19 14:29:24.882"
13,"You see two magazines advertisements on separate pages. Each advertisement is fo","They are equal","2024-03-19 14:30:36.381"
13,"The graph above shows the number of men and women with disease X. The total numb",10,"2024-03-19 14:31:22.114"
13,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-19 14:32:11.099"
15,"What's your age?",29,"2024-03-20 11:17:41.960"
15,"What's your major?",Nutrition,"2024-03-20 11:17:50.597"
15,"The graph above shows the percentage of people who die from different types of c",25%,"2024-03-20 11:18:19.061"
15,"You see two magazines advertisements on separate pages. Each advertisement is fo",Placebo,"2024-03-20 11:19:02.261"
15,"The graph above shows the number of men and women with disease X. The total numb",20%,"2024-03-20 11:19:55.429"
15,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-20 11:20:27.484"
17,"What's your age?",23,"2024-03-21 12:27:00.531"
17,"What's your major?","computer science","2024-03-21 12:27:08.425"
17,"The graph above shows the percentage of people who die from different types of c",combined,"2024-03-21 12:27:44.977"
17,"You see two magazines advertisements on separate pages. Each advertisement is fo",hertinol,"2024-03-21 12:28:30.049"
17,"The graph above shows the number of men and women with disease X. The total numb",20,"2024-03-21 12:28:58.577"
17,"You see two newspaper advertisements on separate pages. Each advertisement is fo","Apsoritain ","2024-03-21 12:29:31.559"
20,"What's your age?",67,"2024-03-26 13:17:43.042"
20,"What's your major?","regenerative studies","2024-03-26 13:17:56.682"
20,"The graph above shows the percentage of people who die from different types of c",25,"2024-03-26 13:18:44.707"
20,"You see two magazines advertisements on separate pages. Each advertisement is fo","they are equal","2024-03-26 13:20:03.116"
20,"The graph above shows the number of men and women with disease X. The total numb",10,"2024-03-26 13:20:33.891"
20,"You see two newspaper advertisements on separate pages. Each advertisement is fo","can't say","2024-03-26 13:21:28.989"
23,"What's your age?",19,"2024-03-26 14:29:07.332"
23,"What's your major?","Computer Science","2024-03-26 14:29:13.747"
23,"The graph above shows the percentage of people who die from different types of c",25%,"2024-03-26 14:29:39.868"
23,"You see two magazines advertisements on separate pages. Each advertisement is fo","They are equal","2024-03-26 14:31:04.858"
23,"The graph above shows the number of men and women with disease X. The total numb",20,"2024-03-26 14:31:43.538"
23,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-26 14:32:28.434"
25,"What's your age?",33,"2024-03-26 14:52:11.962"
25,"What's your major?","Computer Science","2024-03-26 14:52:17.820"
25,"The graph above shows the percentage of people who die from different types of c",25,"2024-03-26 14:52:42.547"
25,"You see two magazines advertisements on separate pages. Each advertisement is fo",Hertinol,"2024-03-26 14:53:49.123"
25,"The graph above shows the number of men and women with disease X. The total numb",20,"2024-03-26 14:54:08.990"
25,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-26 14:54:35.171"
27,"What's your age?",18,"2024-03-27 12:36:29.143"
27,"What's your major?","Agricultural Science","2024-03-27 12:36:42.209"
27,"The graph above shows the percentage of people who die from different types of c",25%,"2024-03-27 12:37:23.136"
27,"You see two magazines advertisements on separate pages. Each advertisement is fo",Hetinol,"2024-03-27 12:38:40.753"
27,"The graph above shows the number of men and women with disease X. The total numb",10,"2024-03-27 12:39:50.826"
27,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-27 12:40:43.977"
28,"What's your age?",19,"2024-03-28 12:21:51.155"
28,"What's your major?","Computer Science","2024-03-28 12:21:56.523"
28,"The graph above shows the percentage of people who die from different types of c",25%,"2024-03-28 12:22:18.252"
28,"You see two magazines advertisements on separate pages. Each advertisement is fo","They are equal","2024-03-28 12:23:06.200"
28,"The graph above shows the number of men and women with disease X. The total numb",20,"2024-03-28 12:23:25.741"
28,"You see two newspaper advertisements on separate pages. Each advertisement is fo",Nopsorian,"2024-03-28 12:24:00.278"
